Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
URosario-20-10001: URosario Project (Colombia),Universidad del Rosario,Grant Award,Artificial Intelligence Mining (AIM),Santiago Saavedra Pineda,9/6/2019,1,1,Colombia,0.0,Allocation,2/25/2020,,,,,,,,,,,,,
USIP Proposal for Comparative Evidence on Collective and Individual Reparations,United States Institute of Peace,Grant Proposal,Comparative Evidence on Collective and Individual Reparations,Matthew Bird,3/21/2017,0,1,Colombia,0.0,,3/21/2017,Luz Magdalena Salas,,,,,,,,,,,,
Collection of baseline data for Impact assessment of safe and environmentally accompanying measures,Government of Côte d'Ivoire,Grant Proposal,Sahel Women Empowerment and Demographic Dividend,,3/31/2017,0,1,Francophone West Africa,0.0,,3/31/2017,,,,,,,,,,,,,
STA-19-10001 SEDRI Data Collection -Cote d?Ivoire,Stanford University,Grant Award,Stanford Economic Development Research Initiative (SEDRI),Pascaline Dupas,12/21/2018,1,1,Francophone West Africa,0.0,,4/19/2019,Deivy Houeix,Eva Lestant,Marcel Fafchamps,,,,,,,,,,
Increasing PrEP Retention and Adherence among Female Sex Workers in Tanzania (subaward),"University of California, Berkeley",Grant Proposal,RESPECT II,William Dow,9/9/2019,0,1,Tanzania,0.0,,9/9/2019,Laura Packel,Marianna Balampama,Damien de Walque,,,,,,,,,,
Sexuality and health themed call for Seed Awards in Humanities and Social Science,University College Dublin,Grant Proposal,Improving Sexual and Reproductive Health in Uganda,Slawa Rokicki,3/16/2017,0,1,Uganda,0.0,,3/16/2017,,,,,,,,,,,,,
GLM: Sahel ASP Oversight (Social Protection),United Kingdom Department for International Development (DFID),Grant Proposal,Sahel Adaptive Social Protection Program - Impact Evaluation,Thomas Bossuroy,10/16/2017,0,1,Francophone West Africa,0.0,,10/16/2017,Dean Karlan,Patrick Premand,Julia Vaillant,William Pariente,Harounan Kazianga,Markus Goldstein,"Christopher Udry 
PhD Kelsey Wright",,,,,,
DOS Building an Evaluation Culture among Civil Society Organizations in LatAm,United States Department of State,Grant Proposal,Building an Evaluation Culture among Civil Society Orgs in LatAm-Colombia,,4/3/2017,0,1,Colombia,0.0,,4/3/2017,,,,,,,,,,,,,
DOS Building an Evaluation Culture among Civil Society Organizations in LatAm,United States Department of State,Grant Proposal,Building an Evaluation Culture among Civil Society Organizations in LatAm-Peru,,4/3/2017,0,1,Peru,0.0,,4/3/2017,,,,,,,,,,,,,
TCD0001 - Graduation Model in Malawi Trinity Contribution (Malawi),Trinity College Dublin,Grant Award,Graduation Model in Malawi,Michael King,4/21/2017,1,1,Malawi,0.0,Allocation,5/4/2018,Markus Goldstein,Julia Vaillant,,,,,,,,,,,
Collecting baseline data from impact assessment of harvesting equipment,World Bank,Grant Proposal,PSAC - Cotton,,4/20/2017,0,1,Francophone West Africa,0.0,,4/20/2017,,,,,,,,,,,,,
New Proposal for Education for Children in Armed Conflict,United Nations Children's Fund (UNICEF),Grant Proposal,Education for Children in Armed Conflict,,4/24/2017,0,1,Philippines,0.0,,4/24/2017,,,,,,,,,,,,,
New Approaches for Improving Timeliness of Routine Immunizations in Low-Resource Settings (Round 19) (Vendor Agreement),University at Buffalo,Grant Proposal,Bridging the Intention-Action Gap for Improving Immunization,Pavani Ram,5/3/2017,0,1,Uganda,0.0,,5/3/2017,Ying Cao,,,,,,,,,,,,
BMG4903 Financial Health (Phase 2): Convert Financial Health Indicators to metrics,Gates Foundation,Grant Award,Measuring Global Financial Health (MGFH),Lasse Brune,5/4/2017,1,1,,0.0,,5/4/2017,Dean Karlan,,,,,,,,,,,,
Harnessing community knowledge for farmer technology adoption in Uganda,Massachusetts Institute of Technology (MIT),Grant Proposal,Learning to Learn by Learning to Teach,Nava Ashraf,3/26/2019,0,1,Uganda,0.0,,3/26/2019,"Abhijit Banerjee 
PhD Vesall Nourani",,,,,,,,,,,,
IPV Training leader,United States Agency for International Development (USAID),Grant Proposal,Leaders In Action (LIA),Ursula Aldana,5/9/2017,0,1,Peru,0.0,,5/31/2017,Livia Schubiger,Javier Romero Haaker,Erica Field,,,,,,,,,,
"WBK-19-20019 - Youth Opportunity Project Impact Evaluation, Baseline Phase 2 - Liberia",World Bank,Grant Award,Liberia Youth Opportunities Project,Victoria Strokova,4/12/2019,1,1,Sierra Leone,0.0,,6/6/2019,Laura Ralston,,,,,,,,,,,,
UCT0005 - Catch-up (TaRL) Scale-up (Zambia),University of Cape Town,Grant Award,Catch-up (TaRL) Scale-up,,5/17/2017,1,1,Zambia,0.0,,5/18/2017,Rachel Glennerster,,,,,,,,,,,,
Maternal and Child Health in Poor Countries - Evidence from Randomized Evaluatio,National Institutes of Health (NIH),Grant Proposal,Maternal and Child Health in Poor Countries - Evidence from Randomized Evaluatio,Jessica Cohen,6/5/2017,0,1,Kenya,0.0,,6/5/2017,Margaret McConnell,,,,,,,,,,,,
Independent Consultant Evaluation Services for the Liberia Energy Project (SUB),American Institutes for Research,Grant Proposal,Mt Coffee Evaluations,,3/20/2017,0,1,Sierra Leone,0.0,,3/21/2017,,,,,,,,,,,,,
GLM: Rural Market Linkages (Zambia),Institute for the Study of Labor (IZA),Grant Proposal,Rural market Linkages / Trade Relationships,Kelsey Jack,10/16/2017,0,1,Zambia,0.0,,10/16/2017,Namrata Kala,Guigonan Serge Adjognon,,,,,,,,,,,
UCB0017 Digital Credit,"University of California, Berkeley",Grant Award,Digital Credit,Jonathan Robinson,5/30/2017,1,1,Malawi,0.0,,9/5/2017,"Pascaline Dupas 
PhD Eilin Francis",Valentina Brailovskaya,,,,,,,,,,,
"CARE VSLA - Ghana, Malawi and Uganda Follow-up Survey",FHI 360,Grant Proposal,CARE VSLA - Uganda Follow-up Survey,,5/12/2017,0,1,Uganda,0.0,,5/12/2017,,,,,,,,,,,,,
OPI0001: TSPI Agricultural Microfinance Evaluation,Opportunity International (OI),Grant Award,TSPI Agricultural Microfinance Evaluation,,5/31/2017,1,1,Philippines,0.0,,5/16/2017,Nathan Fiala,,,,,,,,,,,,
GLM: Recruitment constraints (Ivory Coast),United Kingdom Department for International Development (DFID),Grant Proposal,Recruitment Constraints for Formal Private Firms,Alicia Marguerie,10/15/2017,0,1,Francophone West Africa,0.0,,10/16/2017,PhD Aishwarya Ben Dhia,,,,,,,,,,,,
EAS-19-10001: No Lean Season RA (Bangladesh),Evidence Action,Grant Award,Migration scale-up in Bangladesh,Mushfiq Mobarak,6/20/2019,1,1,Bangladesh,0.0,,6/20/2019,,,,,,,,,,,,,
UCB Proposal for Exploratory Work with CCTs in DR,"University of California, Berkeley",Grant Proposal,Exploratory Work on CCTs in DR,,6/16/2017,0,1,LAC-Other,0.0,,6/16/2017,,,,,,,,,,,,,
YAL0038 Pilot Study Foreigners Impact on Research (Tanzania),Yale University,Grant Award,Foreigners Impact on Research,Katharine Baldwin,4/19/2018,1,1,Tanzania,0.0,,4/19/2018,PhD Constantine Manda,Elizabeth McGuire,,,,,,,,,,,
WEL2913 Wellsprings Request No. 12913 (Tanzania),Wellspring Philanthropic Fund,Grant Award,PanganiFM,Donald Green,8/8/2017,1,1,Tanzania,0.0,,11/1/2017,PhD Dylan Groves,,,,,,,,,,,,
WB Proposal for Cómo Va Mi Escuela,World Bank,Grant Proposal,Cómo Va Mi Escuela,,7/6/2017,0,1,LAC-Other,0.0,,7/7/2017,,,,,,,,,,,,,
WBK-19-20008 Kenya Participatory Budgeting Initiative (KBPI) Logistical Partner for Budgeting: Piloting New Techniques,World Bank,Grant Award,Evaluating Participatory Budgeting Impact in Kenya,Michael Michael Touchton,11/28/2018,1,1,Kenya,0.0,,3/1/2019,Brian Wampler,Tara Grillos,,,,,,,,,,,
IDB-19-10007:Panama Intercultural Math (Peru),Inter-American Development Bank (IDB),Grant Award,Panama Intercultural Math,Emma Ingrid Naslund-Hadley,9/17/2019,1,1,LAC-Other,0.0,,10/3/2019,,,,,,,,,,,,,
DIV_Expanding the 'Quality Preschool for Ghana' Program to Rural Regions: Improving Kindergarten Quality Nationally,United States Agency for International Development (USAID),Grant Proposal,R-QP4G,Sharon Wolf,7/28/2017,0,1,Ghana,0.0,,7/28/2017,Jere Behrman,John Lawrence Aber,,,,,,,,,,,
SIEF LOI for ARK Evaluation,World Bank,Grant Proposal,ARK Evaluation,Jacobus Cilliers,1/30/2015,0,1,Kenya,0.0,,1/30/2015,,,,,,,,,,,,,
New Proposal for Education - Energy Access,,Grant Proposal,Education - Energy Access,Ognen Stojanovski,12/16/2015,0,1,Zambia,0.0,,4/4/2016,Mark C. Thurber,,,,,,,,,,,,
"IGC1206 Credit constraints, trade credit and firm growth across interlinked markets in Zambia",London School of Economics and Political Science,Grant Award,Fish Farming,Lorenzo Casaburi,12/12/2014,1,1,Zambia,0.0,,2/12/2015,,,,,,,,,,,,,
YAL0028 Aid Data Sub-contract for Aid Flow Information (Uganda),Yale University,Grant Award,Aid Flow Information - Pilot,Katharine Baldwin,1/30/2015,1,1,Uganda,0.0,,9/9/2015,,,,,,,,,,,,,
PSI0003 Women's Condoms - PSI_Zambia,Population Services International,Grant Award,Women's Condoms - PSI,Thoai Ngo,1/27/2015,1,1,Zambia,0.0,,6/16/2015,Jessie Pinchoff,Rachna Nag Chowdhuri,,,,,,,,,,,
WBK8780 Field Games Data Collection for Ghana Commercial Agriculture Project (GCAP) Ariku Farms Impact Evaluation,World Bank,Grant Award,Ariku Farms Impact Evaluation,Tricia Gonwa,5/18/2016,1,1,Ghana,0.0,,4/14/2016,Angeli Kirk,Markus Goldstein,,,,,,,,,,,
