Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi_position,pi_name
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,(India) Pilot to identify strategies that enable safer migration for women,9/1/2020,1,1,,0.0,External Subaward,9/1/2020,pi1,Malika Basu
MEL 100mil pisos para jugar,UNACEM,Grant Proposal,100mil pisos para jugar - Impact Evaluation,1/24/2025,0,1,Peru,0.0,Allocation,1/31/2025,pi1,Paul Gertler
MEL 100mil pisos para jugar,UNACEM,Grant Proposal,100mil pisos para jugar - Impact Evaluation,1/24/2025,0,1,Peru,0.0,Allocation,1/31/2025,pi2,Manuel Barron
J-PAL PPE,Massachusetts Institute of Technology (MIT),Grant Proposal,4-H Program,9/22/2019,0,1,Sierra Leone,0.0,,9/22/2019,pi1,Christopher Udry
J-PAL PPE,Massachusetts Institute of Technology (MIT),Grant Proposal,4-H Program,9/22/2019,0,1,Sierra Leone,0.0,,9/22/2019,pi2,PhD Jimmy Lee
FID for 4-H Spillover,Fund for Innovation in Development (FID),Grant Proposal,4-H Spillovers,5/7/2024,0,1,Sierra Leone,0.0,Allocation,5/7/2024,pi1,Christopher Udry
FID for 4-H Spillover,Fund for Innovation in Development (FID),Grant Proposal,4-H Spillovers,5/7/2024,0,1,Sierra Leone,0.0,Allocation,5/7/2024,pi2,Jimmy Lee
GPI A2i Capacity Building,Massachusetts Institute of Technology (MIT),Grant Proposal,A2i Capacity Building,6/30/2016,0,1,Bangladesh,0.0,,6/30/2016,pi1,Mushfiq Mobarak
ADB-18-10003: Graduation Additional Baseline Surveys (Philippines),Asian Development Bank (ADB),Grant Award,ADB Graduation of the Ultra Poor Pilot,10/29/2018,1,1,Philippines,0.0,,11/29/2018,pi1,Dean Karlan
ADB-18-10003: Graduation Additional Baseline Surveys (Philippines),Asian Development Bank (ADB),Grant Award,ADB Graduation of the Ultra Poor Pilot,10/29/2018,1,1,Philippines,0.0,,11/29/2018,pi2,Nathanael Goldberg
ADB-18-10003: Graduation Additional Baseline Surveys (Philippines),Asian Development Bank (ADB),Grant Award,ADB Graduation of the Ultra Poor Pilot,10/29/2018,1,1,Philippines,0.0,,11/29/2018,pi3,Emily Beam
ADB-20-10005: ADB SME Fiji 2 (Philippines),Asian Development Bank (ADB),Grant Award,ADB SME Fiji,5/15/2020,1,1,Philippines,0.0,Allocation,6/4/2020,pi1,Russell Toth
"IKEA-22-10002:Evaluation of AGRA ?Building Regenerative, Sustainable & Profitable Agric. Transformative Systems? (Kenya)",IKEA Foundation,Grant Award,AGRA Evaluation for the Regenerative Pulses Program in Kenya,3/17/2022,1,1,Kenya,0.0,Allocation,8/25/2022,pi1,Nathan Fiala
"IKEA-22-10002:Evaluation of AGRA ?Building Regenerative, Sustainable & Profitable Agric. Transformative Systems? (Kenya)",IKEA Foundation,Grant Award,AGRA Evaluation for the Regenerative Pulses Program in Kenya,3/17/2022,1,1,Kenya,0.0,Allocation,8/25/2022,pi2,Simon Wagura Ndiritu
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,AI-Integrated Tools for Improved Civil Prosecution Outcomes in Human Trafficking,9/1/2020,1,1,LAC-Other,1.0,External Subaward,9/1/2020,pi1,Grant Miller
IGC9404 Strengthening state capacity in health (Sierra Leone),International Growth Centre (IGC),Grant Award,ANC Bracelets,3/18/2016,1,1,Sierra Leone,0.0,,11/11/2016,pi1,Anne Karing
USAID Proposal for CNFA project,United States Agency for International Development (USAID),Grant Proposal,ARC program,6/25/2018,0,1,Francophone West Africa,0.0,,6/26/2018,pi1,Harounan Kazianga
USAID Proposal for CNFA project,United States Agency for International Development (USAID),Grant Proposal,ARC program,6/25/2018,0,1,Francophone West Africa,0.0,,6/26/2018,pi2,Eugénie Maïga
USAID Proposal for CNFA project,United States Agency for International Development (USAID),Grant Proposal,ARC program,6/25/2018,0,1,Francophone West Africa,0.0,,6/26/2018,pi3,Andrew Dillon
SIEF LOI for ARK Evaluation,World Bank,Grant Proposal,ARK Evaluation,1/30/2015,0,1,Kenya,0.0,,1/30/2015,pi1,Jacobus Cilliers
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Academic Lead Funding to Airbel Impact Lab,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,pi1,Jeannie Annan
EDI Peru Proposal,Center for Effective Global Action (CEGA),Grant Proposal,Accountability and capacities to improve budget execution,2/22/2017,0,1,Peru,0.0,,2/13/2017,pi1,Leonard Wantchekon
EDI Peru Proposal,Center for Effective Global Action (CEGA),Grant Proposal,Accountability and capacities to improve budget execution,2/22/2017,0,1,Peru,0.0,,2/13/2017,pi2,Renard Sexton
MIT4060: GI Proposal for Accountability leaders and firms (Peru),Massachusetts Institute of Technology (MIT),Grant Award,Accountability leaders and firms (Pilot),9/18/2015,1,1,Peru,0.0,,3/28/2016,pi1,Renard Sexton
BMG0014 Econ & Fin Models for Pricing & Setting Sanitation Tariffs for the Urban Poor,Gates Foundation,Grant Award,Accra Sanitation,9/25/2014,1,1,Ghana,0.0,,10/29/2014,pi1,Molly Lipscomb
