pi_name,Grant Award,Grant Proposal,Total
Aaron Abbarno,1,0,1
Abdul-Hanan Abdallah,1,0,1
Abhijit Banerjee,2,0,2
"Abhijit Banerjee 
PhD Vesall Nourani",0,1,1
Abla Safir,1,1,2
Abou Bakarr Kamara,0,1,1
Abraham Holland,1,0,1
Abu S. Shonchoy,3,0,3
Achyuta Adhvaryu,1,0,1
Ada Kwan,1,0,1
Adam Kapor,1,0,1
Adam Lichtenheld,1,0,1
Adam Osman,0,1,1
Adam Richards,0,1,1
Adam Szeidl,1,0,1
Aditya Kapur,1,0,1
Adnan Khan,1,1,2
Adriana Camacho Gonzalez,1,0,1
Adrien Bouguen,2,0,2
Adrienne Lucas,2,0,2
Agha Ali Akram,1,1,2
Agnes Quisumbing,0,1,1
Aidan Coville,0,1,1
Aila Matanock,0,2,2
Aine Seitz McCarthy,1,1,2
Akanksha Bapna,1,0,1
Ala' Alrababa'h,2,0,2
Alamgir Kabir,1,0,1
Alan de Brauw,1,1,2
Alan Krueger,1,0,1
Alan Spearot,6,1,7
Albert Ndagijimana,0,1,1
Albert Park,1,0,1
Alberto Chong,0,2,2
Alberto Díaz-Cayeros,0,1,1
Alec Brandon,0,1,1
Alejandra Ramos Moreno,0,1,1
Alejandro Becerra,1,0,1
Aleksandra Jakubowski,0,2,2
Alessandra Voena,0,2,2
Alessandro Maffioli,0,1,1
"Alessandro Maffioli 
PhD Stanislao Maldonado",1,0,1
Alessandro Tarozzi,0,1,1
Alethea Desrosiers,3,0,3
Aletheia Donald,2,1,3
Alex Armand,0,2,2
Alex Pfaff,1,0,1
Alexander Fertig,1,0,1
Alexander Spevack,1,0,1
Alexandra Hartman,4,5,9
Alexandra Johnston,1,0,1
Alexandra Scacco,3,0,3
Alexia Delfino,2,0,2
Alfredo Burlando,5,2,7
Alice G. Laborte,1,0,1
Alice Wuermli,2,1,3
Alicia Marguerie,0,1,1
Alipio Ferreira,1,0,1
Allan Bernardo,0,1,1
Allen Blackman,3,0,3
Allen Hicken,1,0,1
Allison Grossman,1,0,1
Altin Ilirjani,1,0,1
Amanda Kowalski,1,0,1
Ambika Sharma,1,0,1
Ameet Morjaria,1,0,1
Aminur Rahman,1,0,1
"Aminur Rahman 
PhD Marine Gassier",1,0,1
Amir Jina,0,1,1
Amit Khandelwal,2,0,2
Amrita Kundu,0,1,1
Amy Damon,0,1,1
Amy Pickering,3,2,5
Ana Garcia Hernandez,2,0,2
Ana María Rojas Méndez,1,0,1
Ana Maria Diaz Escobar,2,0,2
Ana Maria Ibanez,1,0,1
Ana Maria Montoya,2,0,2
Ana Saavedra,1,0,1
Anant Nyshadham,1,0,1
Anastasia Aladysheva,0,1,1
Anca Balietti,0,1,1
Anders Jensen,2,0,2
Andrés Ham,2,0,2
Andre J Nickow,2,0,2
"Andre J Nickow 
PhD Nathan Barker",1,0,1
Andrea Di Miceli,1,0,1
Andrea Smurra,0,1,1
Andrea Stafford,0,1,1
Andreas de Barros,0,2,2
Andrei Kim,0,1,1
Andres Felipe Rodriguez,1,1,2
Andres Moya,4,1,5
Andres Vargas,0,1,1
Andrew Brudevold-Newman,2,1,3
Andrew D. Jones,3,0,3
Andrew Dillon,7,8,15
Andrew Dustan,3,3,6
Andrew Peter Brudevold-Newman,0,1,1
Andrew Zeitlin,3,2,5
Angela Doku,1,0,1
Angela Harris,1,0,1
Angela Lee Duckworth,1,0,1
Angela Ofori-Atta,2,0,2
Angela Robinson,1,0,1
Angeli Kirk,1,0,1
Aniceto Orbeta,1,1,2
Anil Jain,0,1,1
Anita Shankar,1,1,2
Anja Lambrecht,1,0,1
Anja Sautmann,2,1,3
Anna Maria Wilke,2,2,4
"Anna Maria Wilke 
PhD Jasper Cooper",0,1,1
Anne Fitzpatrick,4,1,5
